2026-06-22 14:46:12 WARNING sepa.intraday  intraday URGN: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:12 WARNING sepa.intraday  intraday GHRS: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:13 WARNING sepa.intraday  intraday BCAX: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:13 WARNING sepa.intraday  intraday INBX: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:13 WARNING sepa.intraday  intraday IART: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:14 WARNING sepa.intraday  intraday ATLC: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:14 WARNING sepa.intraday  intraday AOSL: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:14 WARNING sepa.intraday  intraday CMP: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:15 WARNING sepa.intraday  intraday CEVA: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:15 WARNING sepa.intraday  intraday UMAC: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:15 WARNING sepa.intraday  intraday FCEL: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:15 WARNING sepa.intraday  intraday GLASF: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:16 WARNING sepa.intraday  intraday BJRI: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:16 WARNING sepa.intraday  intraday PLOW: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:16 WARNING sepa.intraday  intraday NUTX: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:16 WARNING sepa.intraday  intraday LPTH: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:16 WARNING sepa.intraday  intraday VELO: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:16 WARNING sepa.intraday  intraday MEC: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:17 WARNING sepa.intraday  intraday KFRC: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:17 WARNING sepa.intraday  intraday ETON: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:17 WARNING sepa.intraday  intraday FTK: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:17 WARNING sepa.intraday  intraday ALOY: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:18 WARNING sepa.intraday  intraday FEIM: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:18 WARNING sepa.intraday  intraday CODI: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:18 WARNING sepa.intraday  intraday ANRO: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:18 WARNING sepa.intraday  intraday BALY: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:19 WARNING sepa.intraday  intraday CYRX: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:19 WARNING sepa.intraday  intraday HELE: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:19 WARNING sepa.intraday  intraday ANL: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:19 WARNING sepa.intraday  intraday CCSI: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:20 WARNING sepa.intraday  intraday TCMD: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:20 WARNING sepa.intraday  intraday BWAY: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:20 WARNING sepa.intraday  intraday ORN: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:20 WARNING sepa.intraday  intraday MRAM: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:21 WARNING sepa.intraday  intraday XOMA: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:21 WARNING sepa.intraday  intraday ADUR: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:21 WARNING sepa.intraday  intraday CBIO: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:21 WARNING sepa.intraday  intraday CRNC: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:22 WARNING sepa.intraday  intraday LXFR: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:22 WARNING sepa.intraday  intraday STRZ: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:22 WARNING sepa.intraday  intraday NGNE: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:22 WARNING sepa.intraday  intraday ALMU: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:23 WARNING sepa.intraday  intraday MEI: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:23 WARNING sepa.intraday  intraday TBRG: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:23 WARNING sepa.intraday  intraday ASYS: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:23 WARNING sepa.intraday  intraday QUIK: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:24 WARNING sepa.intraday  intraday SVCO: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:24 WARNING sepa.intraday  intraday DUOT: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:24 WARNING sepa.intraday  intraday PRE: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:24 ERROR   yfinance  $GLSI: possibly delisted; no price data found  (period=1d)
2026-06-22 14:46:24 ERROR   yfinance  
1 Failed download:
2026-06-22 14:46:24 ERROR   yfinance  ['GLSI']: possibly delisted; no price data found  (period=1d)
2026-06-22 14:46:25 WARNING sepa.intraday  intraday ELMD: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:25 WARNING sepa.intraday  intraday ESOA: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:25 ERROR   yfinance  $RCKY: possibly delisted; no price data found  (period=1d)
2026-06-22 14:46:25 ERROR   yfinance  
1 Failed download:
2026-06-22 14:46:25 ERROR   yfinance  ['RCKY']: possibly delisted; no price data found  (period=1d)
2026-06-22 14:46:26 WARNING sepa.intraday  intraday FC: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:26 WARNING sepa.intraday  intraday RFIL: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:26 WARNING sepa.intraday  intraday QMCO: float() argument must be a string or a real number, not 'Series'
